new_sequence_index,sequence_index,task_id,task_name,process_name,operated_objects,operated_object_names,required_resources,replan_reason,distance_from_previous_task
1,22,Task_手工定位角材_Part_1_13_5536C10403G71_5536C10403G71_1,手工定位角材_Part_1_13_5536C10403G71_5536C10403G71_1,手工定位角材,Part_1_13_5536C10403G71_5536C10403G71_1,5536C10403G71 4号肋角材,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.739；从可用残局子图中前移执行,0.738657
2,23,Task_手工定位角材_Part_1_15_5536C10413G72_5536C10413G72_1,手工定位角材_Part_1_15_5536C10413G72_5536C10413G72_1,手工定位角材,Part_1_15_5536C10413G72_5536C10413G72_1,5536C10413G72 4号肋缘条,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.252；从可用残局子图中前移执行,0.252155
3,39,Task_定位两侧壁板_SubAssembly_1_29_5536C11005G41_5536C11005G41,定位两侧壁板_SubAssembly_1_29_5536C11005G41_5536C11005G41,定位两侧壁板,SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C11005G41 左侧2号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 1.505；从可用残局子图中前移执行,1.504847
4,24,Task_手工定位角材_Part_1_16_5536C10414G72_5536C10414G72_1,手工定位角材_Part_1_16_5536C10414G72_5536C10414G72_1,手工定位角材,Part_1_16_5536C10414G72_5536C10414G72_1,5536C10414G72 4号肋缘条,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 1.538；从可用残局子图中前移执行,1.538272
5,40,Task_定位两侧壁板_SubAssembly_1_30_5536C11006G41_5536C11006G41,定位两侧壁板_SubAssembly_1_30_5536C11006G41_5536C11006G41,定位两侧壁板,SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C11006G41 右侧2号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 1.505；从可用残局子图中前移执行,1.504847
6,25,Task_定位连接带板_Part_1_40_5536C14007G71_5536C14007G71_1,定位连接带板_Part_1_40_5536C14007G71_5536C14007G71_1,手工定位角材,Part_1_40_5536C14007G71_5536C14007G71_1,5536C14007G71 4号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 2.058；从可用残局子图中前移执行,2.057961
7,26,Task_定位连接带板_Part_1_41_5536C14008G71_5536C14008G71_1,定位连接带板_Part_1_41_5536C14008G71_5536C14008G71_1,手工定位角材,Part_1_41_5536C14008G71_5536C14008G71_1,5536C14008G71 4号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.313；从可用残局子图中前移执行,0.313391
8,27,Task_手工定位角材_Part_1_17_5536C10503G71_5536C10503G70_1,手工定位角材_Part_1_17_5536C10503G71_5536C10503G70_1,手工定位角材,Part_1_17_5536C10503G71_5536C10503G70_1,5536C10503G71 5号肋角材,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.537；从可用残局子图中前移执行,0.537245
9,29,Task_手工定位角材_Part_1_19_5536C10513G70_5536C10513G70_1,手工定位角材_Part_1_19_5536C10513G70_5536C10513G70_1,手工定位角材,Part_1_19_5536C10513G70_5536C10513G70_1,5536C10513G70 角片,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.390；从可用残局子图中前移执行,0.390030
10,28,Task_手工定位角材_Part_1_20_5536C10514G70_5536C10514G70_1,手工定位角材_Part_1_20_5536C10514G70_5536C10514G70_1,手工定位角材,Part_1_20_5536C10514G70_5536C10514G70_1,5536C10514G70 角片,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.112；从可用残局子图中前移执行,0.111962
11,38,Task_定位两侧壁板_SubAssembly_1_31_5536C11007G41_5536C11007G41,定位两侧壁板_SubAssembly_1_31_5536C11007G41_5536C11007G41,定位两侧壁板,SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C11007G41 左侧3号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.596；从可用残局子图中前移执行,0.596221
12,37,Task_定位两侧壁板_SubAssembly_1_32_5536C11008G41_5536C11008G41,定位两侧壁板_SubAssembly_1_32_5536C11008G41_5536C11008G41,定位两侧壁板,SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C11008G41 右侧3号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.226；从可用残局子图中前移执行,0.225593
13,30,Task_定位连接带板_Part_1_42_5536C14009G71_5536C14009G72_1,定位连接带板_Part_1_42_5536C14009G71_5536C14009G72_1,手工定位角材,Part_1_42_5536C14009G71_5536C14009G72_1,5536C14009G71 5号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.331；从可用残局子图中前移执行,0.331021
14,44,Task_定位两侧壁板_SubAssembly_1_27_5536C11003G41_5536C11003G41,定位两侧壁板_SubAssembly_1_27_5536C11003G41_5536C11003G41,定位两侧壁板,SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C11003G41 左侧1号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 4.930；从可用残局子图中前移执行,4.929673
15,31,Task_定位连接带板_Part_1_43_5536C14010G71_5536C14010G72_1,定位连接带板_Part_1_43_5536C14010G71_5536C14010G72_1,手工定位角材,Part_1_43_5536C14010G71_5536C14010G72_1,5536C14010G71 5号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 4.940；从可用残局子图中前移执行,4.940204
16,41,Task_定位两侧壁板_SubAssembly_1_28_5536C11004G41_5536C11004G41,定位两侧壁板_SubAssembly_1_28_5536C11004G41_5536C11004G41,定位两侧壁板,SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C11004G41 右侧1号夹芯板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 4.930；从可用残局子图中前移执行,4.929673
17,43,Task_定位两侧壁板_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,定位两侧壁板_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,定位两侧壁板,SubAssembly_1_25_5536C11001G41_5536C11001G41_1,5536C11001G41 左侧下封面板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.620；从可用残局子图中前移执行,0.619643
18,42,Task_定位两侧壁板_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,定位两侧壁板_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,定位两侧壁板,SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C11002G41 右侧下封面板,边缘定位挡块,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.414；从可用残局子图中前移执行,0.413633
19,32,Task_手工定位角材_Part_1_21_5536C10603G71_5536C10603G71_1,手工定位角材_Part_1_21_5536C10603G71_5536C10603G71_1,手工定位角材,Part_1_21_5536C10603G71_5536C10603G71_1,5536C10603G71 6号肋角材,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 6.089；从可用残局子图中前移执行,6.089417
20,34,Task_手工定位角材_Part_1_23_5536C10613G70_5536C10613G70_1,手工定位角材_Part_1_23_5536C10613G70_5536C10613G70_1,手工定位角材,Part_1_23_5536C10613G70_5536C10613G70_1,5536C10613G70 角片,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.304；从可用残局子图中前移执行,0.304435
21,33,Task_手工定位角材_Part_1_24_5536C10614G70_5536C10614G70_1,手工定位角材_Part_1_24_5536C10614G70_5536C10614G70_1,手工定位角材,Part_1_24_5536C10614G70_5536C10614G70_1,5536C10614G70 角片,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.062；从可用残局子图中前移执行,0.062221
22,35,Task_定位连接带板_Part_1_44_5536C14011G71_5536C14011G71_1,定位连接带板_Part_1_44_5536C14011G71_5536C14011G71_1,手工定位角材,Part_1_44_5536C14011G71_5536C14011G71_1,5536C14011G71 6号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.611；从可用残局子图中前移执行,0.610757
23,36,Task_定位连接带板_Part_1_45_5536C14012G71_5536C14012G71_1,定位连接带板_Part_1_45_5536C14012G71_5536C14012G71_1,手工定位角材,Part_1_45_5536C14012G71_5536C14012G71_1,5536C14012G71 6号连接带板,定位器,不依赖故障制孔资源；属于定位/连接带板/装配准备任务；与当前执行尾部 OBB 距离为 0.183；从可用残局子图中前移执行,0.183351
